peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"chandana-VirtualBox","chandana-VirtualBox","chandana-VirtualBox","dmc_group_indexer",,,,,
localhost,"chandana-VirtualBox","chandana-VirtualBox","chandana-VirtualBox","dmc_group_kv_store",,,,,
localhost,"chandana-VirtualBox","chandana-VirtualBox","chandana-VirtualBox","dmc_group_license_master",,,,,
localhost,"chandana-VirtualBox","chandana-VirtualBox","chandana-VirtualBox","dmc_group_search_head",,,,,
