sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1654055221.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654055221.263144",0,0,1654055221,0,0,canceled,"0.196",,,,,,,,,,,
"1654058820.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654058820.609907",0,0,1654058820,0,0,canceled,"0.215",,,,,,,,,,,
"1654062421.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654062421.280144",0,0,1654062421,0,0,canceled,"0.191",,,,,,,,,,,
"1654066020.18","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654066020.760199",0,0,1654066020,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1654069620.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654069620.982516",0,0,1654069621,0,0,canceled,"0.251",,,,,,,,,,,
"1654073220.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654073220.702188",0,0,1654073220,0,0,canceled,"0.28600000000000003",,,,,,,,,,,
"1654076821.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654076821.331132",0,0,1654076821,0,0,canceled,"0.212",,,,,,,,,,,
"1654080420.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654080420.652854",0,0,1654080420,0,0,canceled,"0.251",,,,,,,,,,,
"1654084020.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654084020.948525",0,0,1654084020,0,0,canceled,"0.201",,,,,,,,,,,
"1654087620.28","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654087620.582920",0,0,1654087620,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1654093958.31","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654093958.938823",0,0,1654093958,0,0,canceled,"0.2",,,,,,,,,,,
"1654148820.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654148820.770235",0,0,1654148820,0,0,canceled,"0.209",,,,,,,,,,,
"1654153458.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654153458.609946",0,0,1654153458,0,0,canceled,"0.209",,,,,,,,,,,
"1654156020.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654156020.516293",0,0,1654156020,0,0,completed,"0.192",,,,,,,,,,,
"1654159621.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654159621.102466",0,0,1654159621,0,0,canceled,"0.223",,,,,,,,,,,
"1654176513.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654176513.643348",0,0,1654176513,0,0,canceled,"0.224",,,,,,,,,,,
"1654176514.9","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654176514.574699",0,0,1654176514,0,0,canceled,"0.178",,,,,,,,,,,
"1654177620.12","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654177620.339842",0,0,1654177620,0,0,canceled,"0.191",,,,,,,,,,,
"1654246257.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654246257.285256",0,0,1654246257,0,0,canceled,"0.203",,,,,,,,,,,
"1654494434.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654494434.598668",0,0,1654494434,0,0,canceled,"0.198",,,,,,,,,,,
"1654498021.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654498021.050729",0,0,1654498021,0,0,canceled,"0.186",,,,,,,,,,,
"1654501620.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654501620.574796",0,0,1654501620,0,0,canceled,"0.181",,,,,,,,,,,
"1654505221.18","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654505221.140547",0,0,1654505221,0,0,canceled,"0.191",,,,,,,,,,,
"1654508820.23","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654508820.693966",0,0,1654508820,0,0,canceled,"0.177",,,,,,,,,,,
"1654519620.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654519620.417448",0,0,1654519620,0,0,canceled,"0.21",,,,,,,,,,,
"1654523220.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654523220.695928",0,0,1654523220,0,0,canceled,"0.193",,,,,,,,,,,
"1654595220.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654595220.421074",0,0,1654595220,0,0,canceled,"0.196",,,,,,,,,,,
"1654681620.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654681620.613503",0,0,1654681620,0,0,canceled,"0.216",,,,,,,,,,,
"1654685220.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1654685220.987095",0,0,1654685221,0,0,canceled,"0.188",,,,,,,,,,,
